comment_id	user_id	media_id	parent_comment_id	content	timestamp	deleted	tag	upvotes	downvotes	user_vote_type	username	profile_picture_url	is_mod	is_admin	reply_count	total_votes	changes
21057	6237399	187942		The manga is actually pretty good so you guys can put it in your planning. ||Rikka's hair look kinda weird tho, like too bland||	2025-03-15T07:45:33.000Z			1	3		Dawnusedyeet	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6237399-RHFvRHriXjwS.png	1		0	51	parent_comment_id,deleted,tag,user_vote_type,is_admin
21056	744085	187942		I am waiting for this! truly a kino series!	2025-03-15T07:30:36.000Z			1	0		Azakami02	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			1	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
21025	6120929	187942		Oh guys, it's really here. Can't wait for the anime adaptation of this masterpiece. I hope they gather wonderful VA to pump life to this wonderful story.	2025-03-14T16:42:54.000Z			1	0		SushanLog	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6120929-KKeauXCGNmdy.jpg			0	457	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30703	7171235	185262		isekai pokemon	2026-01-08T00:21:13.000Z			0	0		Yappatron	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b7171235-DNk67QJkbGiw.jpg			0	105	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
29559	6120929	185262		From the synopsis seems interesting 	2025-11-14T12:31:59.000Z			0	0		SushanLog	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6120929-KKeauXCGNmdy.jpg			0	457	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
25896	6415908	185262		the teaser visual has released.	2025-07-19T08:42:07.000Z			0	0		Fearocanity	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6415908-Bd4DNPf0taaA.jpg			0	214	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
24171	6415908	185262		||another `isekai` trope where he trapped on the game, but he trapped and selected the hell mode (hard mode).||  lets see what they're cooking	2025-06-06T04:02:48.000Z			0	0		Fearocanity	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6415908-Bd4DNPf0taaA.jpg			0	214	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30720	6461746	172463		waiting patiently to goon 🫡	2026-01-08T06:50:46.000Z			0	0		Baytec100	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6461746-VvLLE98juna4.jpg			0	3	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30711	7618901	172463		Wait	2026-01-08T03:01:49.000Z			0	0		imbatman10	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b7618901-MVrmJq37Gdfi.jpg			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30709	7434416	172463		16 hours left 🥹🙏🏼	2026-01-08T02:08:33.000Z			0	0		MJKSHT	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b7434416-jqdsJFs2KMva.jpg			0	-4	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30665	7282308	172463		finally 	2026-01-07T10:41:09.000Z			0	0		Draugyn	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b7282308-qZ4Jju1GEt9D.jpg			0	31	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
29486	6127908	172463		Excited for thisss	2025-11-11T21:13:41.000Z			0	0		subhajitmahanta	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6127908-EPpPdA3q6KYg.png			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
28586	6208355	172463		be a good one :/ 	2025-10-11T19:07:54.000Z			0	0		NITHINSPACETIME	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6208355-7AAelM4EjF3y.png			0	67	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
17642	5344168	172463		gonna be a good one	2024-11-21T16:05:07.000Z			0	0		Zoreal	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30653	6415908	183984		I already hate this anime. ||I hate when anime does this MC bait thing, it tickles me.||	2026-01-07T03:27:02.000Z		1	0	0		Fearocanity	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6415908-Bd4DNPf0taaA.jpg			1	214	parent_comment_id,deleted,user_vote_type,is_mod,is_admin
26643	6876731	183984		what's this?	2025-08-08T20:10:09.000Z			0	0		Xierten	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6876731-MbUMGuICHgwh.jpg			0	7	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
22984	6415908	183984		wait this game having an Anime?	2025-04-24T03:33:49.000Z			0	0		Fearocanity	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6415908-Bd4DNPf0taaA.jpg			0	214	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30679	6017464	30002		hello	2026-01-07T18:34:58.000Z			0	0		Kinshuk	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6017464-xTmDiiK7bb0B.png			0	17	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30094	6579452	30002		Just started, let's see how this goes... 	2025-12-14T22:45:40.000Z			1	0		MasterGamer6000	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6579452-2AxpBr84gAe6.jpg			0	29	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
22453	6836492	30002		Wait on this will be brutal. Took me 2-3 days to read all 380 chapters.... now I wait	2025-04-10T17:46:38.000Z			1	0		roublemac9	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			1	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
22431	6510718	30002		I can't read shi	2025-04-10T12:26:46.000Z			0	0		Gabrieleberta7	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
20594	6731485	30002		chapter 380 is literally the name of Sekiro 😭	2025-02-27T21:23:41.000Z			0	0		HusenD	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6731485-4qn8LE6kREFH.png			0	3	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
20035	6355293	30002		it's sad how I have to wait months,  Just to read a chapter in 5 mins maybe less 😭	2025-02-07T14:08:33.000Z			1	0		ZeyadM7md	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6355293-YNLr3uonyu9A.jpg			0	15	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
19130	5469267	30002		nice	2025-01-11T17:15:40.000Z			1	0		3ckortreat	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
18798	7103172	30002		I remember reading golden age at school	2025-01-05T09:24:29.000Z			0	0		BaronTiber	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
18793	6355293	30002		I will end before berserk fr	2025-01-05T05:33:39.000Z			0	0		ZeyadM7md	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6355293-YNLr3uonyu9A.jpg			0	15	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
18371	6355293	30002		w comment fr	2024-12-22T19:06:51.000Z			0	0		ZeyadM7md	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6355293-YNLr3uonyu9A.jpg			0	15	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
23892	6355293	30002		I think that too but they are different categories so I wouldn't compare them	2024-12-22T19:06:05.000Z			0	0		ZeyadM7md	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6355293-YNLr3uonyu9A.jpg			0	15	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
17320	6355293	30002		goat	2024-11-07T11:37:17.000Z			0	0		ZeyadM7md	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6355293-YNLr3uonyu9A.jpg			0	15	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
17313	6801106	30002		I will 🙂	2024-11-07T06:26:52.000Z			0	0		Ashawathma	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
17267	6801106	30002		The goat is coming back 🔥	2024-11-05T06:24:35.000Z			0	0		Ashawathma	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
17233	6355293	30002		literally the best manga I've ever read, yet the author writes 1 chapter every 6 months which is absolutely insane and I hate it, but the original author died long ago so there is nothing I can do but watch this anime which is great but all the other seasons are CGI shit fr, don't believe? go watch	2024-11-03T18:00:52.000Z			0	0		ZeyadM7md	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6355293-YNLr3uonyu9A.jpg			0	15	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
